FractureHeight[m],Time[s],Velocity[m/s]
4.8,0.163808552,0
4.8,0.176747487,0.21433888
4.8,0.190721536,0.09924837
4.8,0.20581351,0.07625451
4.8,0.222112842,0.18294598
4.8,0.23971612,0.37461012
4.8,0.25872766,0.62246541
4.8,0.279260124,0.94079842
4.8,0.301435185,1.26903357
4.8,0.32538425,1.54138632
4.8,0.351249241,1.89251682
4.8,0.379183431,2.08432869
5.76,0.409352357,2.17865313
5.76,0.441934796,2.51325482
5.76,0.47712383,2.64627103
5.76,0.515127988,2.45667922
5.76,0.556172477,2.34322278
6.24,0.600500526,2.37047708
6.72,0.648374819,2.44870056
6.72,0.700079056,2.39316915
6.72,0.755919631,2.2243726
6.72,0.816227452,2.20389464
7.68,0.881359899,1.80152373
7.68,0.951702942,2.0593718
7.68,1.02767343,1.87145886
8.16,1.10972155,1.8754703
8.64,1.19833353,1.72166465
8.64,1.29403446,1.76162076
9.12,1.39739147,1.62509239
9.6,1.50901704,1.54450042
9.6,1.62957265,1.50186137
10.08,1.75977271,1.45873075
10.56,1.90038878,1.34382422
10.56,2.05225414,1.31751788
11.04,2.19986726,1.25158347
11.52,2.37569089,1.19075905
12,2.56558041,1.19265928
12,2.7706611,1.12733376
12.96,2.99214823,1.06405147
12.96,3.23135434,1.02583653
13.92,3.48969694,1.00262973
13.92,3.76870695,0.937798
14.4,4.07003776,0.91522931
14.88,4.39547503,0.88063337
15.36,4.74694728,0.8456154
15.84,5.12653731,0.81315041
16.32,5.53649455,0.78983366
17.28,5.97924836,0.75451232
17.76,6.45742248,0.73686517
18.24,6.97385053,0.70874201
18.72,7.51565558,0.68212905
19.68,8.07859892,0.66623074
20.16,8.6549758,0.65016668
20.64,9.24559358,0.62586219
21.12,9.85914718,0.6137464
22.08,10.4848128,0.60045628
22.56,11.1243264,0.58981798
23.04,11.7753747,0.57492851
23.52,12.4432839,0.55419212
24.48,13.1361844,0.54371334
24.96,13.8424389,0.54127647
24.96,13.9,0.61303695
24.96,14.0151222,0.62507264
24.96,14.2453666,0.55421353
25.44,14.7058554,0.51202741
25.92,15.4558153,0.43320669
