FractureHeight[m],Time[s],Velocity[m/s]
8.27586207,0.871614056,0
8.27586207,0.942269723,0.05623099
8.27586207,1.01857784,0.03896349
8.27586207,1.10099061,0.03461143
8.27586207,1.1899964,0.03566562
8.27586207,1.28612266,0.05199791
8.27586207,1.38993901,0.08291843
8.27586207,1.50206068,0.1148889
8.27586207,1.62315207,0.14600867
8.27586207,1.75393078,0.18036121
8.27586207,1.89517178,-0.01849179
8.27586207,2.04771207,0.261719
8.27586207,2.21245558,0.30978529
9.65517241,2.39037857,1.10120089
9.65517241,2.58253539,-0.17223439
11.03448276,2.79006477,1.54974588
11.03448276,3.01419649,0.65597335
11.03448276,3.25625875,0.65017884
11.03448276,3.51768599,0.66722285
11.03448276,3.80002742,0.64167274
11.03448276,4.10495615,0.63943916
11.03448276,4.43427919,0.61393509
11.03448276,4.78994806,0.47222905
13.79310345,5.17407045,0.75730311
13.79310345,5.58892263,0.61925993
13.79310345,6.03696298,0.55602666
13.79310345,6.52084656,0.54872451
13.79310345,7.04344083,0.50608184
13.79310345,7.60784264,0.50179162
15.17241379,8.21739659,0.36684484
16.55172414,8.87571486,0.4202701
16.55172414,9.58669859,0.49241205
16.55172414,10.354561,0.47355765
17.93103448,11.1838524,0.44149023
17.93103448,12.0794872,0.40668763
19.31034483,13.0467727,0.39216888
19.31034483,14.0914411,0.39384368
20.68965517,15.2196829,0.37464566
20.68965517,16.4381841,0.36043783
22.06896552,17.7541653,0.33299963
23.44827586,19.1754251,0.33198923
23.44827586,20.7103856,0.31431775
23.44827586,22.368143,0.29725677
26.20689655,24.158521,0.28323484
26.20689655,26.0921292,0.27392861
26.20689655,28.1804261,0.26317705
27.5862069,30.2102507,0.26386744
28.96551724,32.6279973,0.25129886
30.34482759,35.2391636,0.23998034
30.34482759,38.0592232,2.32E-01
31.72413793,41.1048876,2.25E-01
33.10344828,44.3942052,2.14E-01
33.10344828,47.9466682,2.09E-01
35.86206897,51.7833281,1.98E-01
37.24137931,55.9269209,0.19610863
37.24137931,60.4020012,0.19110921
40,65.2350878,0.18637025
41.37931034,70.4548214,0.18296726
41.37931034,76.0921336,0.17556604
44.13793103,82.1804308,0.17078698
45.51724138,88.6044736,0.16919191
46.89655172,95.0890795,0.16835301
48.27586207,101.605998,0.16625244
49.65517241,108.205257,0.15957903
51.03448276,115.080489,0.15751042
52.4137931,122.046015,0.15738743
53.79310345,129.016984,0.1547956
55.17241379,136.104671,0.15028567
55.17241379,139,0.16120924
56.55172414,144.790657,0.14757769
57.93103448,152.224999,0.13626007
57.93103448,160.276828,0.12647907
59.31034483,168.951329,0.11221666
62.06896552,178.728335,0.10296223
63.44827586,189.384115,0.0962624
63.44827586,200.781534,0.08918458
64.82758621,213.083468,0.08048903
66.20689655,226.714429,0.07567295
66.20689655,241.21291,0.07166859
67.5862069,256.52147,0.06336422
