FractureHeight[m],Time[s],Velocity[m/s]
2.48E+02,2.81E+02,1.93E-01
2.48E+02,3.04E+02,1.91E-01
2.61E+02,3.28E+02,1.88E-01
2.73E+02,3.54E+02,1.86E-01
2.86E+02,3.82E+02,1.78E-01
2.86E+02,4.13E+02,1.78E-01
2.98E+02,4.46E+02,1.71E-01
3.10E+02,4.82E+02,1.65E-01
3.10E+02,5.00E+02,1.72E-01
3.10E+02,5.36E+02,1.45E-01
3.35E+02,6.05E+02,1.12E-01
3.48E+02,6.93E+02,8.64E-02
3.60E+02,7.97E+02,7.00E-02
3.72E+02,9.17E+02,5.57E-02
3.72E+02,1.05E+03,4.79E-02
3.97E+02,1.21E+03,3.90E-02
3.97E+02,1.39E+03,3.42E-02
4.10E+02,1.60E+03,2.99E-02
4.10E+02,1.84E+03,2.58E-02
4.34E+02,2.12E+03,2.25E-02
4.34E+02,2.44E+03,1.98E-02
4.47E+02,2.80E+03,1.73E-02
4.47E+02,3.22E+03,1.55E-02
4.59E+02,3.71E+03,1.36E-02
4.59E+02,4.26E+03,1.26E-02
4.84E+02,4.90E+03,1.09E-02
4.84E+02,5.64E+03,9.84E-03
4.97E+02,6.49E+03,8.72E-03
5.09E+02,7.46E+03,8.06E-03
5.09E+02,8.58E+03,7.50E-03
5.21E+02,9.86E+03,6.59E-03
5.34E+02,1.13E+04,6.13E-03
5.34E+02,1.30E+04,5.65E-03
5.46E+02,1.47E+04,5.06E-03
5.59E+02,1.67E+04,4.77E-03
5.71E+02,1.87E+04,4.51E-03
5.71E+02,2.09E+04,4.13E-03
5.83E+02,2.33E+04,3.90E-03
5.96E+02,2.58E+04,3.74E-03
5.96E+02,2.85E+04,3.60E-03
6.08E+02,3.12E+04,3.31E-03
6.21E+02,3.41E+04,3.19E-03
6.33E+02,3.69E+04,3.15E-03
6.33E+02,3.97E+04,3.07E-03
6.46E+02,4.26E+04,2.84E-03
6.58E+02,4.54E+04,2.83E-03
6.58E+02,4.83E+04,2.81E-03
6.70E+02,5.11E+04,2.64E-03
6.70E+02,5.39E+04,2.61E-03
6.83E+02,5.68E+04,2.52E-03
6.83E+02,5.96E+04,2.49E-03
6.95E+02,6.25E+04,2.35E-03
7.08E+02,6.53E+04,2.36E-03
7.08E+02,6.81E+04,2.37E-03
7.20E+02,7.10E+04,2.27E-03
7.20E+02,7.38E+04,2.23E-03
7.32E+02,7.67E+04,2.19E-03
7.32E+02,7.95E+04,2.17E-03
7.32E+02,8.23E+04,2.14E-03
7.45E+02,8.52E+04,2.04E-03
7.45E+02,8.80E+04,2.10E-03
7.57E+02,9.09E+04,2.04E-03
7.57E+02,9.37E+04,2.08E-03
7.70E+02,9.65E+04,2.01E-03
7.70E+02,9.94E+04,2.05E-03
7.82E+02,1.02E+05,1.93E-03
7.82E+02,1.05E+05,2.02E-03
7.94E+02,1.08E+05,1.94E-03
7.94E+02,1.11E+05,1.94E-03
7.94E+02,1.14E+05,1.91E-03
8.07E+02,1.16E+05,1.85E-03
8.07E+02,1.19E+05,1.90E-03
8.19E+02,1.22E+05,1.81E-03
8.19E+02,1.25E+05,1.93E-03
8.19E+02,1.28E+05,1.81E-03
