FractureHeight[m],Time[s],Velocity[m/s]
12.87356322,4.39445189,0.6436026
12.87356322,4.74721661,0.65281281
12.87356322,5.1282025,0.67806949
12.87356322,5.53966727,0.61495612
12.87356322,5.98404922,0.56396592
14.48275862,6.46398173,0.54450057
14.48275862,6.98230883,0.50708357
16.09195402,7.54210211,0.51066671
16.09195402,8.14667884,0.58065713
16.09195402,8.79962172,0.56927793
16.09195402,9.50480002,0.51924573
17.70114943,10.26639259,0.41350509
17.70114943,11.08891257,0.48243501
17.70114943,11.97723414,0.50684148
19.31034483,12.93662144,0.44609694
20.91954023,13.97275972,0.42828778
20.91954023,15.09178907,0.41752773
20.91954023,16.30034076,0.40345661
20.91954023,17.60557659,0.39845568
22.52873563,19.01523128,0.32230303
22.52873563,20.38541565,0.39001972
24.13793103,22.01745747,0.35686516
25.74712644,23.78006263,0.34839799
25.74712644,25.68367621,0.35034544
27.35632184,27.73957887,0.32798231
27.35632184,29.95995375,0.32493243
27.35632184,32.35795862,0.31795725
30.57471264,34.94780388,0.29294407
30.57471264,37.74483675,0.31170666
32.18390805,40.76563226,0.2820952
33.79310345,44.02809141,0.29890911
33.79310345,47.55154729,0.28714983
35.40229885,51.35687964,0.27751621
37.01149425,55.46663858,0.28073785
37.01149425,59.90517824,0.27006647
38.62068966,64.64475219,0.27269087
40.22988506,69.33871205,0.27439828
41.83908046,74.00346437,0.28167655
41.83908046,78.54768354,0.27997504
43.44827586,83.11951959,0.26384796
45.05747126,87.97079826,0.26869474
46.66666667,92.73456856,2.74E-01
48.27586207,97.40400639,2.76E-01
48.27586207,102.040797,2.65E-01
49.88505747,106.8634303,2.66E-01
51.49425287,111.6771712,2.73E-01
53.10344828,116.3655996,0.27779132
53.10344828,120.9733749,0.2768708
54.71264368,125.5964698,0.26670917
56.32183908,129.9157814,0.2711369
57.93103448,134.6366437,0.27651979
57.93103448,139.2656072,0.27775049
59.54022989,143.8740599,0.26260914
61.14942529,148.7482239,0.26696764
62.75862069,153.5428125,0.27632256
64.36781609,158.1750801,0.28271517
64.36781609,162.702605,0.28093719
65.97701149,167.2587835,0.26984338
67.5862069,172.0022758,0.27041894
69.1954023,176.7356721,0.27614253
69.1954023,181.3709595,0.27557923
70.8045977,186.0157217,0.26307156
72.4137931,190.881318,0.26773294
74.02298851,195.6622015,0.27601903
75.63218391,200.2995629,0.28235297
75.63218391,204.8328958,0.27986417
77.24137931,209.406543,0.270122
78.85057471,214.1451426,0.2705719
80.45977011,218.8758629,0.2764729
80.45977011,223.5056114,0.27588867
82.06896552,228.1451641,0.26328271
83.67816092,233.0068582,0.26828926
85.28735632,237.7778282,0.27573555
86.89655172,242.4199573,0.28309441
86.89655172,246.9414172,0.27993699
88.50574713,250,0.28147233
90.11494253,254.5475162,0.27639572
90.11494253,259.1785576,0.27681977
91.72413793,263.8025048,0.26776021
93.33333333,268.5829015,0.27337734
94.94252874,273.2650746,0.27807149
96.55172414,277.8682074,0.28257069
96.55172414,282.3980473,0.27722632
98.16091954,287.0152134,0.26365803
99.77011494,291.8699868,0.26327869
101.3793103,296.731755,0.26615982
101.3793103,301.5408956,0.26090565
102.9885058,306.4468837,0.24802131
104.5977012,311.6077305,0.24715899
106.2068966,316.7865832,0.25001652
106.2068966,321.9062448,0.2454156
107.816092,327.1218872,0.23294467
109.4252874,332.6167544,0.23243776
111.0344828,338.1236049,0.23699117
112.6436782,343.5246501,0.23919964
112.6436782,348.8758287,0.22091277
114.2528736,354.6699708,0.22004606
115.862069,360.4869346,0.22194785
117.4712644,366.2540552,0.22513901
117.4712644,371.9394317,0.22006087
119.0804598,377.756004,0.20925444
120.6896552,383.872959,0.20850102
122.2988506,390.0120178,0.21170675
122.2988506,396.058117,0.20785727
123.908046,402.2161889,0.19761119
125.5172414,408.6935549,0.19743001
127.1264368,415.1768651,0.2018541
128.7356322,421.5180787,0.20453116
128.7356322,427.7762937,0.18863977
130.3448276,434.5617135,0.18769165
131.954023,441.3814095,0.19086578
133.5632184,448.087693,0.19366794
133.5632184,454.696944,0.19046527
135.1724138,461.4173294,0.1799034
136.7816092,468.5322588,0.17970114
138.3908046,475.6551964,0.18354562
138.3908046,481.9315651,0.18349389
140,488.9072742,0.17436359
141.6091954,496.2482565,0.17402969
143.2183908,503.6033232,0.17733173
143.2183908,510.8214335,0.17444278
144.8275862,518.1590832,0.16550444
146.4367816,525.8930146,0.16606677
148.045977,533.6007577,0.17098757
149.6551724,541.0866817,0.17403485
149.6551724,548.4415304,0.16014735
151.2643678,556.4341697,0.15572431
152.8735632,564.6538238,0.16196168
154.4827586,572.5569277,0.16560785
154.4827586,580.2860301,0.16257822
156.091954,588.1591632,0.1535041
157.7011494,596.4977029,0.15440213
159.3103448,604.7877439,0.1572143
159.3103448,612.9294966,0.1553601
160.9195402,621.1684201,0.14476169
162.5287356,630.0105386,0.14696344
164.137931,638.7201877,0.15004745
165.7471264,647.2508223,0.15295977
165.7471264,655.6190358,0.14173087
167.3563218,664.650237,0.13954337
168.9655172,673.8230126,0.14348665
170.5747126,682.7437034,0.14757555
170.5747126,691.4172266,0.14590556
172.1839081,700.1900246,0.13804716
173.7931035,709.4622182,0.13859227
175.4022989,718.6979426,0.14103353
177.0114943,727.7737984,0.14014386
177.0114943,736.9072701,0.13226363
178.6206897,746.5849112,0.13271583
180.2298851,756.2295787,0.1340795
181.8390805,765.7761536,0.13896825
181.8390805,774.9868903,0.13686072
183.4482759,784.339464,0.12571153
185.0574713,794.5215052,0.12744436
186.6666667,804.5651039,0.13186193
186.6666667,814.2722273,0.13188373
188.2758621,823.9777456,0.12191905
189.8850575,834.4765148,0.12367129
191.4942529,844.8265326,0.1276488
193.1034483,854.8540455,0.12760417
193.1034483,864.8850658,0.11971095
194.7126437,875.5774878,0.11931986
196.3218391,886.3049558,0.12346842
197.9310345,896.6719791,0.12679
197.9310345,906.7674125,0.12428554
199.5402299,917.0662774,0.11340776
201.1494253,928.3529828,0.11646099
202.7586207,939.3437875,0.11983824
204.3678161,950.0248519,0.11885194
204.3678161,960.7945539,0.11108522
205.9770115,972.3172389,0.11199521
207.5862069,983.7462992,0.11461722
209.1954023,994.9139057,0.11699442
209.1954023,1005.854598,0.11633001
210.8045977,1016.857778,0.10747109
