FractureHeight[m],Time[s],Velocity[m/s]
4.0892,0.5239,2.0946
5.285,1.2029,0.99397
6.6126,1.6927,0.78438
8.0549,2.3817,0.60554
9.4899,3.3514,0.42818
11.23,4.7157,0.36907
13.173,6.6355,0.29273
15.268,9.3368,0.22439
17.572,10.975,0.20998
19.989,14.708,0.1643
22.83,19.71,0.14416
25.902,26.414,0.11629
29.337,28.755,0.11945
33.051,54.077,0.068684
37.198,148.75,0.027876
41.64,362.16,0.012265
46.655,901.61,0.0055627
51.922,1136.1,0.0046361
57.855,2177.1,0.0027252
64.13,3089.6,0.002031
71.343,2710.9,0.0026606
78.992,2901,0.0026368
87.655,3702.4,0.0023398
97.142,4725.3,0.0020078
107.79,3440.8,0.0030951
119.25,3983.1,0.0028764
132.2,4610.9,0.0028088
145.96,5337.8,0.0025771
161.67,6179.1,0.0025436
178.97,4651.5,0.0037182
196.82,5128.2,0.0034811
217.53,8694.7,0.0023821
240.24,6545.1,0.0034698
265.63,7216,0.0035177
293.22,7955.6,0.0034685
323.86,9783.5,0.0031322
357.31,11768,0.0028423
394.64,10462,0.0035676
435.58,12112,0.0033808
480.45,15988,0.0028064
530.07,13486,0.0036789
584.4,13672,0.0039741
644.01,14786,0.0040312
